Authors,Venue,Year,Title,Analysis Method,Analysis Strategy,Implementation Strategy,Specification Strategy,SE Layer,Further Keywords
" Elias Kuiter,  Alexander Kn&uuml;ppel,  Tabea Bordis,  Tobias Runge,  Ina Schaefer",VAMOS,2022,"Verification Strategies for Feature-Oriented Software Product Lines","theorem proving","feature-family-based analysis, feature-product-based analysis, optimized product-based analysis","feature modules, composition-based implementation","feature-based specification","source code","KKB+:VaMoS22, KeY, KeYPl, FeatureHouse, variability encoding"
" Marc Hentze,  Tobias Pett,  Thomas Th&uuml;m,  Ina Schaefer",VAMOS,2021,"Hyper Explanations for Feature-Model Defect Analysis","feature-model analysis","family-based analysis","implementation independent","specification independent","","HPTS:VaMoS21"
" Tobias Pett,  Sebastian Krieter,  Tobias Runge,  Thomas Th&uuml;m,  Malte Lochau,  Ina Schaefer",VAMOS,2021,"Stability of Product-Line Sampling in Continuous Integration","","sample-based analysis","implementation independent","specification independent","program","PKR+:VaMoS21"
" Chico Sundermann,  Michael Nieke,  Paul Maximilian Bittner,  Tobias He&szlig;,  Thomas Th&uuml;m,  Ina Schaefer",VAMOS,2021,"Applications of #SAT Solvers on Feature Models","feature-model analysis","family-based analysis","implementation independent","specification independent","","SNB+:VaMoS21"
" Maurice H. ter Beek,  Axel Legay,  Alberto Lluch Lafuente,  Andrea Vandin",TSE,2020,"A Framework for Quantitative Modeling and Analysis of Highly (Re)Configurable Systems","statistical model checking","unoptimized product-based analysis","family-based implementation","specification independent","design","BLLV:TSE20, tool, evaluation, no proof, QFLan, MultiVeSta"
" Tabea Bordis,  Tobias Runge,  Alexander Kn&uuml;ppel,  Thomas Th&uuml;m,  Ina Schaefer",VAMOS,2020,"Variational Correctness-by-Construction","theorem proving","optimized product-based analysis","feature modules, composition-based implementation","feature-based specification","source code","BRK+:VaMoS20, CorC, KeY"
" Sebastian Krieter,  Thomas Th&uuml;m,  Sandro Schulze,  Gunter Saake,  Thomas Leich",VAMOS,2020,"YASA: Yet Another Sampling Algorithm","testing","sample-based analysis","implementation independent","specification independent","program","KTS+:VaMoS20"
" Joshua Sprey,  Chico Sundermann,  Sebastian Krieter,  Michael Nieke,  Jacopo Mauro,  Thomas Th&uuml;m,  Ina Schaefer",VAMOS,2020,"SMT-Based Variability Analyses in FeatureIDE","feature-model analysis","family-based analysis","implementation independent","specification independent","","SSK+:VaMoS20"
" Chico Sundermann,  Thomas Th&uuml;m,  Ina Schaefer",VAMOS,2020,"Evaluating #SAT Solvers on Industrial Feature Models","feature-model analysis","family-based analysis","implementation independent","specification independent","","STS:VaMoS20"
" Vitor Rodrigues,  Simone Donetti,  Ferruccio Damiani",SOSYM,2019,"Certifying Delta-Oriented Programs","theorem proving","feature-product-based analysis","delta modules, family-based implementation","family-based specification","source code","RDD:SoSyM19, tool, evaluation, no proof, COQ"
" Axel Halin,  Alexandre Nuttinck,  Mathieu Acher,  Xavier Devroey,  Gilles Perrouin,  Benoit Baudry",EMSE,2019,"Test Them All, Is It Worth It? Assessing Configuration Sampling on the JHipster Web Development Stack","testing","sample-based analysis","implementation independent","specification independent","program","HNA+:EMSE19"
" Dennis Reuling,  Udo Kelter,  Johannes B&uuml;rdek,  Malte Lochau",TOSEM,2019,"Automated N-Way Program Merging for Facilitating Family-Based Analyses of Variant-Rich Software","model checking, test-case generation, variant-preserving migration","product-family-based analysis","product-based implementation","domain-independent specification","source code","RKBL:TOSEM19, control-flow automaton, tool, evaluation, SiMPOSE, C programs"
" Thomas Th&uuml;m,  Alexander Kn&uuml;ppel,  Stefan Kr&uuml;ger,  Stefanie Bolle,  Ina Schaefer",JSS,2019,"Feature-Oriented Contract Composition","analysis method independent","analysis strategy undefined","feature modules, feature-based implementation","feature-based specification","source code","TKK+:JSS19, tool, evaluation, no proof, FeatureIDE, FeatureHouse"
" Jose A. Galindo,  David Benavides,  Pablo Trinidad,  Antonio-Manuel Gutierrez-Fernandez,  Antonio Ruiz-Cortes",COMPUTING,2019,"Automated Analysis of Feature Models: Quo Vadis?","feature-model analysis","family-based analysis","implementation independent","specification independent","","GBT+:Computing19"
" Mustafa Al-Hajjaji,  Thomas Th&uuml;m,  Malte Lochau,  Jens Meinicke,  Gunter Saake",SOSYM,2019,"Effective Product-Line Testing Using Similarity-Based Product Prioritization","testing","sample-based analysis","implementation independent","specification independent","program","ATL+:SoSyM19"
"Michael Lettner, Jorge Rodas, Jose A. Galindo, David Benavides",COLA,2019,"Automated Analysis of Two-Layered Feature Models With Feature Attributes","feature-model analysis","family-based analysis","implementation independent","specification independent","","LRGB:COLA19"
" Gabriela Sampaio,  Paulo Borba,  Leopoldo Teixeira",JSS,2019,"Partially Safe Evolution of Software Product Lines","static analysis","family-based analysis","implementation independent","","theory","SBT:JSS19, evaluation"
" Maurice H. ter Beek, Ferruccio Damiani, Stefania Gnesi, Franco Mazzanti, Luca Paolini",SCP,2019,"On the Expressiveness of Modal Transition Systems With Variability Constraints","analysis method undefined","analysis strategy undefined","family-based implementation","specification undefined","design","BDG+:SCP19, no tool, no evaluation, proof, FTS, MTS"
" Lars Luthmann,  Timo Gerecht,  Malte Lochau",STTT,2019,"Sampling Strategies for Product Lines With Unbounded Parametric Real-Time Constraints","testing","sample-based analysis","implementation independent","family-based specification","program","LGL:STTT19, tool, evaluation"
" David Fernandez-Amoros,  Ruben Heradio,  Christoph Mayr-Dorn,  Alexander Egyed",SPLC,2019,"A KConfig Translation to Logic With One-Way Validation System","feature-model analysis","family-based analysis","implementation independent","specification independent","","FAH+:SPLC19"
" Daniel-Jesus Munoz,  Jeho Oh,  Monica Pinto,  Lidia Fuentes,  Don Batory",SPLC,2019,"Uniform Random Sampling Product Configurations of Feature Models That Have Numerical Features","","","","","","MOP+:SPLC19"
" Jeho Oh,  Paul Gazzillo,  Don Batory,  Marijn Heule,  Maggie Myers",(techreport),2019,"Uniform Sampling From Kconfig Feature Models","","","","","","OGB+:TR19"
" Jianmei Guo,  Dingyu Yang,  Norbert Siegmund,  Sven Apel,  Atrisha Sarkar,  Pavel Valov,  Krzysztof Czarnecki,  Andrzej Wasowski,  Huiqun Yu",EMSE,2018,"Data-Efficient Performance Learning for Configurable Systems","performance analysis","sample-based analysis","implementation independent","specification independent","program","GYS+:EMSE18"
" Iago Abal,  Jean Melo,  Stefan Stanciulescu,  Claus Brabrand,  Marcio Ribeiro,  Andrzej Wasowski",TOSEM,2018,"Variability Bugs in Highly Configurable Systems: A Qualitative Analysis","analysis method undefined","sample-based analysis","implementation independent","","","AMS+:TOSEM18, no tool, evaluation"
