Authors,Venue,Year,Title,Category,Detailed,Further Tags,Key
" Viplesh Dubey,  Manju Kaushik,  Satendra Kumar",IJSEM,2025,"Test Suite Reduction Techniques for Software Product Line Testing: A Survey","problem space, solution space","","",DKK:IJSEM25
" Elias Kuiter,  Thomas Th&uuml;m,  Timo Kehrer",VAMOS,2025,"Teach Variability! A Modern University Course on Software Product Lines","problem space, solution space","","",KTK:VaMoS25
" Raul Medeiros,  Jabier Martinez,  Oscar Diaz,  Jean-Remy Falleri",IST,2023,"Visualizations for the Evolution of Variant-Rich Systems: A Systematic Mapping Study","problem space, solution space","evolution","",MMDF:IST23
" Jose Miguel Horcas-Aguilera,  Monica Pinto-Alarcon,  Lidia Fuentes-Fernandez",SOSYM,2023,"Empirical Analysis of the Tool Support for Software Product Lines","problem space, solution space","tool support","",HPF:SoSyM23
" Oscar Aguayo,  Samuel Sepulveda",AS,2022,"Variability Management in Dynamic Software Product Lines for Self-Adaptive Systems&#8211;A Systematic Mapping","problem space, solution space","pl technique application","dynamic spl",AS:AS22
" Samuel Sepulveda,  Ania Cravero",AS,2022,"Reasoning Algorithms on Feature Modeling &#8211; A Systematic Mapping Study","problem space","analysis","",SC:AS22
" Christoph Knieke,  Andreas Rausch,  Mirco Schindler,  Arthur Strasser,  Martin Vogel",IJE,2022,"Managed Evolution of Automotive Software Product Line Architectures: A Systematic Literature Study","problem space, solution space","evolution","",KRS+:IJE22
" Rabatul Aduni Sulaiman,  Dayang Norhayati Abang Jawawi,  Shahliza Abdul Halim",TIIS,2022,"Classification Trends Taxonomy of Model-Based Testing for Software Product Line: A Systematic Literature Review","solution space","quality assurance","dynamic analysis",SJH:TIIS22
" Luciano Marchezan,  Elder Rodrigues,  Wesley Klewerton Guez Assuncao,  Maicon Bernardino,  Fabio Paulo Basso,  Joao Carbonell",SPLC,2022,"Software Product Line Scoping: A Systematic Literature Review","problem space, solution space","management","",MRA+:SPLC22
" Thiago Castro,  Leopoldo Teixeira,  Vander Alves,  Sven Apel,  Maxime Cordy,  Rohit Gheyi",TOSEM,2021,"A Formal Framework of Software Product Line Analyses","solution space","quality assurance","static analysis",CTA+:TOSEM21
"Fischer Ferreira, Gustavo Vale, João P. Diniz, Eduardo Figueiredo",JSS,2021,"Evaluating T-Wise Testing Strategies in a Community-Wide Dataset of Configurable Software Systems","solution space","quality assurance","dynamic analysis",FVDF:JSS21
" Matias Pol’la,  Agustina Buccella,  Alejandra Cechich",SOSYM,2021,"Analysis of Variability Models: A Systematic Literature Review","problem space, solution space","","",PBC:SoSyM21
